PROPERTY ID (T/WCAD),Food_Permit_Number,Food_Permit_Area,Name,Street,PERMIT SUBTYPE,SERVICE TYPE,Food_Permit_Year,Location 1,STREET NUMBER,Street Name,STREET DIRECTION,STREET SUFFIX,SUITE,OWNER NAME,OWNER MAILING ADDRESS,OWNER MAILING CITY,OWNER MAILING STATE,OWNER MAILING ZIP,FIXED FOOD TYPE
,2014122782 FP,500,Pinkberry 205,"2901 S Capital Of Texas Hwy Nb
Austin, Tx 78746
(30.254658, -97.809462)",Food Service,,10/01/2018,"2901 S CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.254658, -97.809462)",2901,"CAPITAL OF TEXAS HWY
",S ,NB,,KURT PEDERSON,12610 GRIERSON TRL,AUSTIN,TEXAS,78732,General Food Service
,2005006531 FP,600,Asian American Cultural Center,"11713 Jollyville Rd
Austin, Tx 78759
(30.419657, -97.75252)",Food Service,Seated,10/01/2018,"11713 JOLLYVILLE RD
AUSTIN, TX 78759
(30.419657, -97.75252)",11713,"JOLLYVILLE
",,RD,,ASIAN AMERICAN CULTURAL CENTER,11713 JOLLYVILLE ROAD,AUSTIN,TX,78759,Child Care
,2016047503 FP,992,Starbucks on Town Lake,"111 E Cesar Chavez St
Austin, Tx 78701
(30.263215, -97.743895)",Food Service,,10/01/2018,"111 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.263215, -97.743895)",111,"CESAR CHAVEZ
",E ,ST,,C/O TOM SCHURR - RADISSON HOTEL,111 E CESAR CHAVEZ ST,AUSTIN,TEXAS,78701,General Food Service
,2009017119 FP,546,Pizza Galore,"7329 Burnet Rd Bldg B
Austin, Tx 78757
(30.349457, -97.734976)",Food Service,Carry Out,10/01/2018,"7329 BURNET RD Bldg B
AUSTIN, TX 78757
(30.349457, -97.734976)",7329,"BURNET
",,RD,Bldg B,SHABNAM JAHID,7329 BURNET RD UNIT B,AUSTIN,TEXAS,78757,General Food Service
,2006006015 FP,1000,Scruffy's Convenient Store,"307 E 6Th St
Austin, Tx 78701
(30.267287, -97.740066)",Food Service,Seated,10/01/2018,"307 E 6TH ST
AUSTIN, TX 78701
(30.267287, -97.740066)",307,"6TH
(30.10566, -94.16522)",E ,ST,,AMIN A. MOMIN,307 E. 6TH ST.,AUSTIN,TX,78701,General Food Service
,2014051052 FP,550,Murphy's Deli,"111 Congress Ave Unit 180
Austin, Tx 78701
(30.264003, -97.744309)",Food Service,,10/01/2018,"111 CONGRESS AVE Unit 180
AUSTIN, TX 78701
(30.264003, -97.744309)",111,"CONGRESS
",,AVE,Unit 180,ELIZBETH GRACIA,9511 QUAIL VILLAGE LANE,AUSTIN,TEXAS,78758,General Food Service
,2005002573 FP,1000,Sonic,"12453 Lamplight Village Ave
Austin, Tx 78758
(30.415076, -97.696401)",Food Service,Carryout,10/01/2018,"12453 LAMPLIGHT VILLAGE AVE
AUSTIN, TX 78758
(30.415076, -97.696401)",12453,"LAMPLIGHT VILLAGE
",,AVE,,JERRY CONWAY,P O BOX 17788,AUSTIN,TX,78760,Restaurant
,2006008684 FP,750,Wal-Mart Supercenter Deli/Bakery,"9300 S Ih 35 Svrd Sb Bldg B
Austin, Tx 78748
(30.164828, -97.787933)",Food Service,Carryout,10/01/2018,"9300 S IH 35 SVRD SB Bldg B
AUSTIN, TX 78748
(30.164828, -97.787933)",9300,"IH 35 SVRD
",S ,SB,Bldg B,"WAL MART STORES TEXAS, LLC/ATTN: AMY IGO",3345 BEE CAVE RD STE# 105,AUSTIN,TX,78746,Delicatessen
,2005001181 FP,1000,Magnolia Cafe South,"1920 S Congress Ave
Austin, Tx 78704
(30.244364, -97.751619)",Food Service,Seated,10/01/2018,"1920 S CONGRESS AVE
AUSTIN, TX 78704
(30.244364, -97.751619)",1920,"CONGRESS
",S ,AVE,,KENT COLE,2000 S CONGRESS AVE.,AUSTIN,TX,78704,Restaurant
,2006003392 FP,800,Short Stop #2,"12784 N Us 183 Hwy
Austin, Tx 78759
(30.433799, -97.769532)",Food Service,Carryout,10/01/2018,"12784 N US 183 HWY
AUSTIN, TX 78759
(30.433799, -97.769532)",12784,"US 183
",N ,HWY,,KTS AUSTIN INC,5609 ADAMS AVENUE,AUSTIN,TX,78756,Restaurant
,2005005884 FP,1000,Kirby Hall School,"306 W 29Th St
Austin, Tx 78705
(30.294284, -97.74043)",Food Service,Cafeteria/Buff,10/01/2018,"306 W 29TH ST
AUSTIN, TX 78705
(30.294284, -97.74043)",306,"29TH
(48.57414, 13.44959)",W ,ST,,BEVERLY RASE,306 W 29TH ST,AUSTIN,TX,78705,Restaurant
,2012082733 FP,736,Pepe's Fruit Cup #3,"2015 E Riverside Dr Bunit B
Austin, Tx 78741
(30.2406, -97.72743)",Food Service,,10/01/2018,"2015 E RIVERSIDE DR Bunit B
AUSTIN, TX 78741
(30.2406, -97.72743)",2015,"RIVERSIDE
",E ,DR,Bunit B,DANELIA ROGEL,2015 RIVERSIDE DR UNIT B,AUSTIN,TEXAS,78741,
,2006008570 FP,660,Amy's Ice Cream,"3100 S Congress Ave
Austin, Tx 78704
(30.231617, -97.758996)",Food Service,Seated,10/01/2018,"3100 S CONGRESS AVE
AUSTIN, TX 78704
(30.231617, -97.758996)",3100,"CONGRESS
",S ,AVE,,AMELIA E. SIMMONS,2109 NORTHLAND DR.,AUSTIN,TX,78756,Restaurant
,2006001293 FP,1000,El Azteca,"2600 E 7Th St
Austin, Tx 78702
(30.260744, -97.71253)",Food Service,Seated,10/01/2018,"2600 E 7TH ST
AUSTIN, TX 78702
(30.260744, -97.71253)",2600,"7TH
(29.52033, -98.59599)",E ,ST,,DANIEL D. GUERRA,2600 E 7TH STREET,AUSTIN,TX,78702,Restaurant
732316,2008020845 FP,900,Jersey Mikes Subs,"9500 S Ih 35 Svrd Sb Bldg L
Austin, Tx 78748
(30.162196, -97.789107)",Food Service,Seated,10/01/2018,"9500 S IH 35 SVRD SB Bldg L
AUSTIN, TX 78748
(30.162196, -97.789107)",9500,"IH 35 SVRD
",S ,SB,Bldg L,STEVE & YVONNE CULLEN,7709 ORISHA DR.,AUSTIN,TEXAS,78739,Restaurant
,2015023889 FP,800,Wetzels Pretzels/Nestle Toll House,"11200 Lakeline Mall Dr
Austin, Tx 78613
(30.471859, -97.802777)",Food Service,,10/01/2018,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.471859, -97.802777)",11200,"LAKELINE MALL
",,DR,,"RN BROTHERS, LLC",11200 LAKELINE MALL DR,CEDAR PARK,TEXAS,78613,General Food Service
,2006002298 FP,700,Austin Groups for the Elderly,"3710 Cedar St
Austin, Tx 78705
(30.300502, -97.73504)",Food Service,Cafeteria/Buff,10/01/2018,"3710 CEDAR ST
AUSTIN, TX 78705
(30.300502, -97.73504)",3710,"CEDAR
",,ST,,AUSTIN GROUPS FOR THE ELDERLY,"3710 CEDAR ST, BOX 2",AUSTIN,TX,78705,Nursing Home
,2005001316 FP,600,Short Stop #5,"3001 W Anderson Ln
Austin, Tx 78757
(30.360429, -97.739741)",Food Service,Carryout,10/01/2018,"3001 W ANDERSON LN
AUSTIN, TX 78757
(30.360429, -97.739741)",3001,"ANDERSON
",W ,LN,,JEARL LEDBETTER,5609 ADAMS AVE.,AUSTIN,TX,78756,Restaurant
,2006001207 FP,800,Short Stop,"2217 E 7Th St
Austin, Tx 78702
(30.26148, -97.717477)",Food Service,Carryout,10/01/2018,"2217 E 7TH ST
AUSTIN, TX 78702
(30.26148, -97.717477)",2217,"7TH
(29.52033, -98.59599)",E ,ST,,JEARL LEDBETTER,5609 ADAMS AVE,AUSTIN,TX,78756,Restaurant
,2006001567 FP,800,Kappa Delta Sorority,"2315 Nueces St
Austin, Tx 78705
(30.287586, -97.743679)",Food Service,Cafeteria/Buff,10/01/2018,"2315 NUECES ST
AUSTIN, TX 78705
(30.287586, -97.743679)",2315,"NUECES
",,ST,,KAPPA DELTA SORORITY - POLLY MAGEE,2315 NUECES ST,AUSTIN,TX,78705,Other
,2008060018 FP,800,Drunk Fish,"10000 Research Blvd Sb Unit 139
Austin, Tx 78759
(30.392352, -97.746845)",Food Service,Seated,10/01/2018,"10000 RESEARCH BLVD SB Unit 139
AUSTIN, TX 78759
(30.392352, -97.746845)",10000,"RESEARCH BLVD
",,SB,Unit 139,SUN PARK,10000 RESEARCH BLVD #139,AUSTIN,TEXAS,78759,Restaurant
,2014076667 FP,775,Sabe Fruteria,"707 E Braker Ln Unit 202
Austin, Tx 78753
(30.377214, -97.677118)",Food Service,,10/01/2018,"707 E BRAKER LN Unit 202
AUSTIN, TX 78753
(30.377214, -97.677118)",707,"BRAKER
",E ,LN,Unit 202,JOSE S BENITEZ,707 E BRAKER LANE # 202,AUSTIN,TEXAS,78753,General Food Service
,2005005917 FP,1000,ABIA Salt Lick Deli,"3600 Presidential Blvd
Austin, Tx 78719
(30.202654, -97.667216)",Food Service,Carryout,10/01/2018,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202654, -97.667216)",3600,"PRESIDENTIAL
",,BLVD,,BRAZOS CONCESSIONS CO.,40 FOUNTAIN PLAZA,BUFFALO,NY,14202,Restaurant
,2009042583 FP,676,Covenant Presbyterian Church,"3003 Northland Dr
Austin, Tx 78731
(30.335062, -97.752905)",Food Service,Seated,10/01/2018,"3003 NORTHLAND DR
AUSTIN, TX 78731
(30.335062, -97.752905)",3003,"NORTHLAND
",,DR,,COVENANT PRESBYTERIAN CHURCH,3003 NORTHLAND DR.,AUSTIN,TEXAS,78757,Church
,2006004310 FP,1000,"Project Transitions, Inc","5606 Roosevelt Ave
Austin, Tx 78756
(30.327671, -97.73208)",Food Service,Seated,10/01/2018,"5606 ROOSEVELT AVE
AUSTIN, TX 78756
(30.327671, -97.73208)",5606,"ROOSEVELT
",,AVE,,JANICE MORGAN,P.O. BOX 4826,AUSTIN,TX,78765,Boarding Home
,2012053276 FP,600,Misty Morning Bakery,"2002 Southern Oaks Dr Unit B
Austin 78745
(30.218803, -97.796034)",Retail Food,,10/01/2018,"2002 SOUTHERN OAKS DR Unit B
AUSTIN 78745
(30.218803, -97.796034)",2002,"SOUTHERN OAKS
",,DR,Unit B,SUSAN WILLMAN,10401 BEARD AVE,AUSTIN,TEXAS,78748,Bakery
,2006504812 FP,1000,St. Andrew's Episcopal School-Concession,"5901 Southwest Pkwy
Austin, Tx 78735
(30.247106, -97.848037)",Food Service,Carry Out,10/01/2018,"5901 SOUTHWEST PKWY
AUSTIN, TX 78735
(30.247106, -97.848037)",5901,"SOUTHWEST
",,PKWY,,ST ANDREWS EPISCOPAL SCHOOL/MARVIN SHELTON,1112 W 31ST STREET,AUSTIN,TEXAS,78705,Concession Stand
231156,2006002206 FP,900,HEB Food Store #202 - Restaurant,"5808 Burnet Rd
Austin, Tx 78756
(30.334115, -97.739948)",Food Service,Carryout,10/01/2018,"5808 BURNET RD
AUSTIN, TX 78756
(30.334115, -97.739948)",5808,"BURNET
",,RD,,"HEB, ATTN: LICENSING DEPT",PO BOX 839986,SAN ANTONIO,TX,78283,Restaurant
,2008091129 FP,800,Omega Trading & Services LLC,"5740 N Ih 35 Svrd Sb
Austin, Tx 78751
(30.318251, -97.707723)",Retail Food,,10/01/2018,"5740 N IH 35 SVRD SB
AUSTIN, TX 78751
(30.318251, -97.707723)",5740,"IH 35 SVRD
",N ,SB,,MATHEWS CHACKO,5740 IH 35 NORTH,AUSTIN,TEXAS,78751,Convenience Store
,2014000191 FP,900,House of Swine,"2317 Shoal Creek Blvd
Austin, Tx 78705
(30.288259, -97.751473)",Food Service,Caterer,10/01/2018,"2317 SHOAL CREEK BLVD
AUSTIN, TX 78705
(30.288259, -97.751473)",2317,"SHOAL CREEK
",,BLVD,,NICHOLAS BARRERA,2304 BARTON VILLAGE CIR. #101,AUSTIN,TEXAS,78704,General Food Service
,2005006388 FP,700,Dobie Mall--Subway,"2025 Guadalupe St
Austin, Tx 78705
(30.283744, -97.741965)",Food Service,Seated,10/01/2018,"2025 GUADALUPE ST
AUSTIN, TX 78705
(30.283744, -97.741965)",2025,"GUADALUPE
",,ST,,LONE STAR SUBS LTD,500 W. MLK BLVD. # A,AUSTIN,TX,78701,Restaurant
,2013104560 FP,944,Star Stop 82,"6903 Brodie Ln
Austin, Tx 78745
(30.214183, -97.83005)",Retail Food,,10/01/2018,"6903 BRODIE LN
AUSTIN, TX 78745
(30.214183, -97.83005)",6903,"BRODIE
",,LN,,"PANJWANI ENERGY, LLC / ATTN: SHAMSUDDIN PANJWANI",6161 SAVOY DR. # 1111,HOUSTON,TEXAS,77036,Convenience Store
,2015129364 FP,800,Flour Sack Provisions,"2600 E Cesar Chavez St
Austin, Tx 78702
(30.253841, -97.715237)",Food Service,,10/01/2018,"2600 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.253841, -97.715237)",2600,"CESAR CHAVEZ
",E ,ST,,SARAH STEVENS,1203 WILSHIRE BLVD.,AUSTIN,TEXAS,78722,Other
,2014113339 FP,925,Sweetness Bakery Austin,"3742 Far West Blvd Unit 106
Austin, Tx 78731
(30.355834, -97.758175)",Food Service,Seated,10/01/2018,"3742 FAR WEST BLVD Unit 106
AUSTIN, TX 78731
(30.355834, -97.758175)",3742,"FAR WEST
",,BLVD,Unit 106,ELVA CABALLERO,3742 FAR WEST BLVD #106,AUSTIN,TEXAS,78731,General Food Service
,2005002304 FP,1000,St. Mary's Cathederal School,"910 San Jacinto Blvd
Austin, Tx 78701
(30.270812, -97.739104)",Food Service,Seated,10/01/2018,"910 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.270812, -97.739104)",910,"SAN JACINTO
",,BLVD,,ATTN: MARY MARGARET HITT,910 SAN JACINTO BLVD.,AUSTIN,TX,78701,School
,2014092079 FP,975,Jacoby's Austin - Catering Kitchen,"3235 E Cesar Chavez St Unit 300
Austin, Tx 78702
(30.251738, -97.707392)",Food Service,Caterer,10/01/2018,"3235 E CESAR CHAVEZ ST Unit 300
AUSTIN, TX 78702
(30.251738, -97.707392)",3235,"CESAR CHAVEZ
",E ,ST,Unit 300,"JACOBY RESTAURANT GROUP, LLC",3235 E CESAR CHAVEZ,AUSTIN,TEXAS,78702,General Food Service
,2015129998 FP,500,Nono's Tacos,"1762 Colony Creek Dr
Austin, Tx 78758
(30.369438, -97.715352)",Food Service,,10/01/2018,"1762 COLONY CREEK DR
AUSTIN, TX 78758
(30.369438, -97.715352)",1762,"COLONY CREEK
",,DR,,NONO'S TACOS INC.,102 WHITE OAK,AUSTIN,TEXAS,78753,General Food Service
,2005006625 FP,1000,Starbucks Coffee #6386,"6816 West Gate Blvd
Austin, Tx 78745
(30.207751, -97.815121)",Food Service,Seated,10/01/2018,"6816 WEST GATE BLVD
AUSTIN, TX 78745
(30.207751, -97.815121)",6816,"WEST GATE
",,BLVD,,STARBUCKS CORPORATION,"PO BOX 34442, S-TAX2",SEATTLE,WA,98134,Restaurant
,2005004188 FP,512,"Children's Courtyard, The","11012 Harris Branch Pkwy
Austin, Tx 78754
(30.344511, -97.613474)",Food Service,Seated,10/01/2018,"11012 HARRIS BRANCH PKWY
AUSTIN, TX 78754
(30.344511, -97.613474)",11012,"HARRIS BRANCH
",,PKWY,,THE CHILDREN'S COURTYARD INC.,11012 HARRIS BRANCH PKWY,AUSTIN,TX,78754,Child Care
,2006002779 FP,600,Tarry House Snack Bar,"3006 Bowman Ave
Austin, Tx 78703
(30.299456, -97.770788)",Food Service,Seated,10/01/2018,"3006 BOWMAN AVE
AUSTIN, TX 78703
(30.299456, -97.770788)",3006,"BOWMAN
",,AVE,,ROBERT L. RAMSEY,3006 BOWMAN AVE.,AUSTIN,TX,78703,Restaurant
,2008088992 FP,1000,Subway,"2906 Duval St
Austin, Tx 78705
(30.291587, -97.734351)",Food Service,Seated,10/01/2018,"2906 DUVAL ST
AUSTIN, TX 78705
(30.291587, -97.734351)",2906,"DUVAL
",,ST,,"AVM SUBWAY, LLC",867 HARBOUR PL.,SUGARLAND,TEXAS,77478,Restaurant
,2016039116 FP,737,It's Italian Market,"2025 E 7Th St Unit 115
Austin, Tx 78702
(30.261897, -97.719402)",Retail Food,,10/01/2018,"2025 E 7TH ST Unit 115
AUSTIN, TX 78702
(30.261897, -97.719402)",2025,"7TH
(29.52033, -98.59599)",E ,ST,Unit 115,C/O AL FINI,2025 E 7TH ST #115,AUSTIN,TEXAS,78702,Convenience Store
,2015044301 FP,600,Celeste's Natural Kitchen,"2002 Southern Oaks Dr
Austin 78745
(30.218803, -97.796034)",Food Service,Caterer,10/01/2018,"2002 SOUTHERN OAKS DR
AUSTIN 78745
(30.218803, -97.796034)",2002,"SOUTHERN OAKS
",,DR,,CELESTE GUSTAFSON,PO BOX 152046,AUSTIN,TEXAS,78745,General Food Service
,2006000673 FP,528,Short Stop,"3811 N Ih 35 Svrd Nb
Austin, Tx 78722
(30.295357, -97.718989)",Food Service,Carryout,10/01/2018,"3811 N IH 35 SVRD NB
AUSTIN, TX 78722
(30.295357, -97.718989)",3811,"IH 35 SVRD
",N ,NB,,JEARL LEDBETTER,5609 ADAMS AVE,AUSTIN,TX,78756,Restaurant
,2014118727 FP,600,Austin Java - 360,"3310 N Capital Of Texas Hwy Sb
Austin, Tx 78746
(30.33093, -97.809174)",Food Service,,10/01/2018,"3310 N CAPITAL OF TEXAS HWY SB
AUSTIN, TX 78746
(30.33093, -97.809174)",3310,"CAPITAL OF TEXAS HWY
",N ,SB,,AUSTIN JAVA,1710 EVERGREEN AVE,AUSTIN,TEXAS,78704,General Food Service
,2005004482 FP,1000,Buddy's Place,"8619 Burnet Rd
Austin, Tx 78757
(30.369125, -97.727452)",Food Service,Seated,10/01/2018,"8619 BURNET RD
AUSTIN, TX 78757
(30.369125, -97.727452)",8619,"BURNET
",,RD,,JACKIE SMITH,8619 BURNET ROAD,AUSTIN,TX,78757,Bar
,2013070779 FP,1000,New Covenant Fellowship of Austin,"1507 Wilshire Blvd
Austin, Tx 78722
(30.296314, -97.711788)",Food Service,Seated,10/01/2018,"1507 WILSHIRE BLVD
AUSTIN, TX 78722
(30.296314, -97.711788)",1507,"WILSHIRE
",,BLVD,,NEW COVENANT FELLOWSHIP OF AUSTIN,1507 WILSHIRE BLVD STE 6,AUSTIN,TEXAS,78722,Other
,2006006734 FP,1000,Java Noodles,"2400 E Oltorf St
Austin, Tx 78741
(30.22938, -97.730344)",Food Service,Seated,10/01/2018,"2400 E OLTORF ST
AUSTIN, TX 78741
(30.22938, -97.730344)",2400,"OLTORF
",E ,ST,,NGUYEN CHAN,2400 E. OLTORF STE# 14-15,AUSTIN,TX,78741,Restaurant
,2016033784 FP,800,El Mana #1,"5938 Westminster Dr
Austin, Tx 78723
(30.313412, -97.691218)",Food Service,,10/01/2018,"5938 WESTMINSTER DR
AUSTIN, TX 78723
(30.313412, -97.691218)",5938,"WESTMINSTER
",,DR,,EL MANA #1 C/O AIDEE ISELA LOPEZ,5938 WESTMINSTER DR,AUSTIN,TEXAS,78723,General Food Service
,2010051782 FP,800,Austin Country Club - Pool Snack Bar,"4408 Long Champ Dr
Austin, Tx 78746
(30.341025, -97.798296)",Food Service,Seated,10/01/2018,"4408 LONG CHAMP DR
AUSTIN, TX 78746
(30.341025, -97.798296)",4408,"LONG CHAMP
",,DR,,"AUSTIN COUNTRY CLUB, INC ATTN: ROBERT  BURNS",4408 LONG CHAMP DR,AUSTIN,TEXAS,78746,Restaurant
,2013016550 FP,1000,Khabele Cafe,"809 Rio Grande St
Austin, Tx 78701
(30.272598, -97.748516)",Food Service,,10/01/2018,"809 RIO GRANDE ST
AUSTIN, TX 78701
(30.272598, -97.748516)",809,"RIO GRANDE
",,ST,,THE KHABELE SCHOOL,801 RIO GRANDE ST.,AUSTIN,TEXAS,78701,School
,2006000484 FP,1000,Hot Jumbo Bagel,"742 Northwestern Ave
Austin, Tx 78702
(30.262416, -97.713921)",Food Products,,10/01/2018,"742 NORTHWESTERN AVE
AUSTIN, TX 78702
(30.262416, -97.713921)",742,"NORTHWESTERN
",,AVE,,LEE WALLACE,311 STANSTED MANOR DR,PFLUGERVILLE,TX,78660,Manufacturing
,2015121086 FP,500,Mission Dogs,"1701 E Cesar Chavez St Unit B
Austin, Tx 78702
(30.257737, -97.726403)",Food Service,Seated,10/01/2018,"1701 E CESAR CHAVEZ ST Unit B
AUSTIN, TX 78702
(30.257737, -97.726403)",1701,"CESAR CHAVEZ
",E ,ST,Unit B,MICHAEL FARLEY,12805 COUNCIL BLUFF DR,AUSTIN,TEXAS,78727,General Food Service
,2010037502 FP,919,O'Neill's Catering,"4321 Emma Browning Ave
Austin, Tx 78719
(30.186401, -97.663606)",Food Service,,10/01/2018,"4321 EMMA BROWNING AVE
AUSTIN, TX 78719
(30.186401, -97.663606)",4321,"EMMA BROWNING
",,AVE,,NEILL REAGAN,4321 EMMA BROWNING AVE HANGAR 1,AUSTIN,TEXAS,78719,Other
,2010072207 FP,910,Natural Epicurean Academy of Culinary Arts,"1700 S Lamar Blvd Bunit 316
Austin, Tx 78704
(30.250877, -97.765509)",Food Service,,10/01/2018,"1700 S LAMAR BLVD Bunit 316
AUSTIN, TX 78704
(30.250877, -97.765509)",1700,"LAMAR
",S ,BLVD,Bunit 316,RICH GOLDSTEIN,2167 W. ANDERSON LANE,AUSTIN,TEXAS,78756,School
,2005006811 FP,882,Auntie Anne's,"11200 Lakeline Mall Dr
Austin, Tx 78613
(30.471859, -97.802777)",Food Service,Carry Out,10/01/2018,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.471859, -97.802777)",11200,"LAKELINE MALL
",,DR,,"LONE STAR DREAMS, INC.",605 SHADY HOLLOW DRIVE,GEORGETOWN,TX,78628,Delicatessen
,2010000468 FP,900,Trinity Child Development Center,"5801 Westminster Dr
Austin, Tx 78723
(30.311954, -97.690691)",Food Service,Seated,10/01/2018,"5801 WESTMINSTER DR
AUSTIN, TX 78723
(30.311954, -97.690691)",5801,"WESTMINSTER
",,DR,,TRINITY CHILD DEVELOPMENT CENTER,5801 WESTMINSTER DR,AUSTIN,TEXAS,78723,Child Care
,2011000242 FP,1000,Donut 4U,"1425 E Rundberg Ln
Austin, Tx 78753
(30.350843, -97.676256)",Food Service,Seated,10/01/2018,"1425 E RUNDBERG LN
AUSTIN, TX 78753
(30.350843, -97.676256)",1425,"RUNDBERG
",E ,LN,,TINA LIM,2716 TUMBLING RIVER DRIVE,LEANDER,TEXAS,78641,Restaurant
532853,2006007522 FP,900,Subway #29113,"9911 Brodie Ln
Austin, Tx 78748
(30.184608, -97.849046)",Food Service,Seated,10/01/2018,"9911 BRODIE LN
AUSTIN, TX 78748
(30.184608, -97.849046)",9911,"BRODIE
",,LN,,DENNIS WEN,500 W. MLK BLVD #A,AUSTIN,TX,78701,Restaurant
,2015118818 FP,1000,Choco Sutra,"2002 Southern Oaks Dr
Austin 78745
(30.218803, -97.796034)",Food Products,,10/01/2018,"2002 SOUTHERN OAKS DR
AUSTIN 78745
(30.218803, -97.796034)",2002,"SOUTHERN OAKS
",,DR,,CHOCO SUTRA,PO BOX 150576,AUSTIN,TEXAS,78715,Manufacturing
,2006006038 FP,600,Subway,"1900 E Oltorf St
Austin, Tx 78741
(30.231088, -97.73508)",Food Service,Seated,10/01/2018,"1900 E OLTORF ST
AUSTIN, TX 78741
(30.231088, -97.73508)",1900,"OLTORF
",E ,ST,,"LONE STAR SUBS, LTD",3801 N CAP OF TX HWY BLDG E-240 PMB 230,AUSTIN,TX,78746-1482,Restaurant
,2006008695 FP,1000,Apostolic Praise Center,"8766 Research Blvd Sb
Austin, Tx 78757
(30.366595, -97.718768)",Food Service,Caterer,10/01/2018,"8766 RESEARCH BLVD SB
AUSTIN, TX 78757
(30.366595, -97.718768)",8766,"RESEARCH BLVD
",,SB,,PASTOR JOE SHY,PO BOX 705,PFLUGERVILLE,TX,78691,Church
104338,2009109522 FP,516,Charley's Grilled Sub @ Barton Creek,"2901 S Capital Of Texas Hwy Nb
Austin, Tx 78746
(30.254658, -97.809462)",Food Service,Seated,10/01/2018,"2901 S CAPITAL OF TEXAS HWY NB
AUSTIN, TX 78746
(30.254658, -97.809462)",2901,"CAPITAL OF TEXAS HWY
",S ,NB,,SANG HUN KIM,"2901 S CAPITAL OF TEXAS HWY., UNIT VC-07",AUSTIN,TEXAS,78746,
,2012127238 FP,630,Hana World Market - Foodcourt,"1700 W Parmer Ln Bunit 100
Austin, Tx 78727
(30.412511, -97.688909)",Food Service,,10/01/2018,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412511, -97.688909)",1700,"PARMER
",W ,LN,Bunit 100,CYC ENTERPRISES INC.,12108 AZURE SHORES CT.,AUSTIN,TEXAS,78732,General Food Service
,2012001275 FP,1000,Central Donut,"8516 Anderson Mill Rd Unit 105
Austin, Tx 78729
(30.456002, -97.767543)",Food Service,,10/01/2018,"8516 ANDERSON MILL RD Unit 105
AUSTIN, TX 78729
(30.456002, -97.767543)",8516,"ANDERSON MILL
",,RD,Unit 105,PHEAKDEY HENG,8516 ANDERSON MILL RD. STE #105,AUSTIN,TEXAS,78729,General Food Service
,2006001137 FP,1000,Camino Real Restaurant,"8650 Spicewood Springs Rd
Austin, Tx 78759
(30.433565, -97.771812)",Food Service,Seated,10/01/2018,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433565, -97.771812)",8650,"SPICEWOOD SPRINGS
",,RD,,LUCIANO HENRIQUEZ,8650 SPICEWOOD SPRINGS RD. #137,AUSTIN,TX,78759,Restaurant
,2012103753 FP,800,Daily Juice Cafe,"3720 Far West Blvd Unit 105
Austin, Tx 78731
(30.355437, -97.757235)",Food Service,Seated,10/01/2018,"3720 FAR WEST BLVD Unit 105
AUSTIN, TX 78731
(30.355437, -97.757235)",3720,"FAR WEST
",,BLVD,Unit 105,MARY JOAN FRIEDEN,P O BOX 27576,AUSTIN,TEXAS,78755,General Food Service
,2006006455 FP,700,"Children's Courtyard, The","5914 W William Cannon Dr
Austin, Tx 78749
(30.228635, -97.862053)",Food Service,Seated,10/01/2018,"5914 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.228635, -97.862053)",5914,"WILLIAM CANNON
",W ,DR,,JAMES D. MILLS,5914 W WILLIAM CANNON DR,AUSTIN,TX,78749,Child Care
,2006002869 FP,736,Dobie Mall--Niki's Pizza,"2021 Guadalupe St
Austin, Tx 78705
(30.283319, -97.742009)",Food Service,Seated,10/01/2018,"2021 GUADALUPE ST
AUSTIN, TX 78705
(30.283319, -97.742009)",2021,"GUADALUPE
",,ST,,NIKI NEZIRI,2025 GUADALUPE ST,AUSTIN,TX,78705,Restaurant
,2006008562 FP,523,P. Terry's Burger Stand,"404 S Lamar Blvd
Austin, Tx 78704
(30.261957, -97.758219)",Food Service,Carryout,10/01/2018,"404 S LAMAR BLVD
AUSTIN, TX 78704
(30.261957, -97.758219)",404,"LAMAR
",S ,BLVD,,PATRICK TERRY,5555 N LAMAR BLVD STE E-113,AUSTIN,TX,78751,Restaurant
,2005002350 FP,800,Thundercloud Subs,"3204 Guadalupe St
Austin, Tx 78705
(30.299553, -97.740197)",Food Service,Seated,10/01/2018,"3204 GUADALUPE ST
AUSTIN, TX 78705
(30.299553, -97.740197)",3204,"GUADALUPE
",,ST,,THUNDERCLOUD INC.,203 E. RIVERSIDE DR,AUSTIN,TX,78704,Restaurant
,2008026357 FP,900,Polkadots Cupcake Factory,"2826 Rio Grande St Bldg B
Austin, Tx 78705
(30.295553, -97.743921)",Food Service,Carry Out,10/01/2018,"2826 RIO GRANDE ST Bldg B
AUSTIN, TX 78705
(30.295553, -97.743921)",2826,"RIO GRANDE
",,ST,Bldg B,BEN LEE,2826 RIO GRANDE ST. STE B,AUSTIN,TEXAS,78705,Restaurant
